2025-04-20 16:03:49,933 - INFO - 開始分組文章
2025-04-20 16:03:49,935 - ERROR - 讀取檔案 real_estate_articles\articles\409187_105年不動產估價師試題總評(一),許文昌老師.md 失敗：bad character range \d-  at position 7
2025-04-20 16:03:49,937 - ERROR - 讀取檔案 real_estate_articles\articles\409188_登記錯誤、遺漏之更正與塗銷登記差異,曾榮耀老師.md 失敗：bad character range \d-  at position 7
2025-04-20 16:03:49,937 - ERROR - 讀取檔案 real_estate_articles\articles\409189_105年不動產估價師試題總評(二),許文昌老師.md 失敗：bad character range \d-  at position 7
2025-04-20 16:03:49,941 - ERROR - 讀取檔案 real_estate_articles\articles\409190_不動產經紀人考試命題大綱今年增加房地合一稅,許文昌老師.md 失敗：bad character range \d-  at position 7
2025-04-20 16:03:49,941 - ERROR - 讀取檔案 real_estate_articles\articles\409191_不動產經紀人考試被考生忽略的一題,許文昌老師.md 失敗：bad character range \d-  at position 7
2025-04-20 16:03:49,941 - ERROR - 讀取檔案 real_estate_articles\articles\409192_哪一種考試會考「國土計畫法」？,許文昌老師.md 失敗：bad character range \d-  at position 7
2025-04-20 16:03:49,941 - ERROR - 讀取檔案 real_estate_articles\articles\409193_讀書方法之建議,許文昌老師.md 失敗：bad character range \d-  at position 7
2025-04-20 16:03:49,943 - ERROR - 讀取檔案 real_estate_articles\articles\409194_海洋之子-海域區及海域用地之使用與管制,許文昌老師.md 失敗：bad character range \d-  at position 7
2025-04-20 16:03:49,944 - ERROR - 讀取檔案 real_estate_articles\articles\409195_地價稅之變革,許文昌老師.md 失敗：bad character range \d-  at position 7
2025-04-20 16:03:49,945 - ERROR - 讀取檔案 real_estate_articles\articles\409196_精準地價與自動估價系統,許文昌老師.md 失敗：bad character range \d-  at position 7
2025-04-20 16:03:49,945 - ERROR - 讀取檔案 real_estate_articles\articles\409197_區段徵收制度之存廢問題,許文昌老師.md 失敗：bad character range \d-  at position 7
2025-04-20 16:03:49,946 - ERROR - 讀取檔案 real_estate_articles\articles\409198_105年不動產經紀人試題總評,許文昌老師.md 失敗：bad character range \d-  at position 7
2025-04-20 16:03:49,946 - ERROR - 讀取檔案 real_estate_articles\articles\409199_自動穩定機制,許文昌老師.md 失敗：bad character range \d-  at position 7
2025-04-20 16:03:49,947 - ERROR - 讀取檔案 real_estate_articles\articles\409206_105年地方政府考試的二件奇妙事,許文昌老師.md 失敗：bad character range \d-  at position 7
2025-04-20 16:03:49,947 - ERROR - 讀取檔案 real_estate_articles\articles\409207_從105年12月9日公布之大法官解釋第742號談起,許文昌老師.md 失敗：bad character range \d-  at position 7
2025-04-20 16:03:49,949 - ERROR - 讀取檔案 real_estate_articles\articles\409208_都市更新整合不易成功之原因,許文昌老師.md 失敗：bad character range \d-  at position 7
2025-04-20 16:03:49,950 - ERROR - 讀取檔案 real_estate_articles\articles\409209_區段徵收抵價地補償之問題,許文昌老師.md 失敗：bad character range \d-  at position 7
2025-04-20 16:03:49,950 - ERROR - 讀取檔案 real_estate_articles\articles\409210_只有鳥能站的地方，不得測量登記～106年1月9日地籍測量實施規則修正發布,許文昌老師.md 失敗：bad character range \d-  at position 7
2025-04-20 16:03:49,951 - ERROR - 讀取檔案 real_estate_articles\articles\409211_一個國家，兩種建物面積測繪規定～106年1月9日地籍測量實施規則修正發布,許文昌老師.md 失敗：bad character range \d-  at position 7
2025-04-20 16:03:49,951 - ERROR - 讀取檔案 real_estate_articles\articles\409212_實價登錄資料之真實性存疑,許文昌老師.md 失敗：bad character range \d-  at position 7
2025-04-20 16:03:49,952 - ERROR - 讀取檔案 real_estate_articles\articles\409213_老舊建物拆除重建之時機,許文昌老師.md 失敗：bad character range \d-  at position 7
2025-04-20 16:03:49,953 - ERROR - 讀取檔案 real_estate_articles\articles\409214_都市發展過程的三種現象,許文昌老師.md 失敗：bad character range \d-  at position 7
2025-04-20 16:03:49,953 - ERROR - 讀取檔案 real_estate_articles\articles\409215_停車位之產權登記《一》,許文昌老師.md 失敗：bad character range \d-  at position 7
2025-04-20 16:03:49,954 - ERROR - 讀取檔案 real_estate_articles\articles\409216_停車位之產權登記《二》,許文昌老師.md 失敗：bad character range \d-  at position 7
2025-04-20 16:03:49,954 - ERROR - 讀取檔案 real_estate_articles\articles\409217_享受考試,許文昌老師.md 失敗：bad character range \d-  at position 7
2025-04-20 16:03:49,954 - ERROR - 讀取檔案 real_estate_articles\articles\409218_土地登記規則新修正內容,許文昌老師.md 失敗：bad character range \d-  at position 7
2025-04-20 16:03:49,954 - ERROR - 讀取檔案 real_estate_articles\articles\409219_不動產契約書,許文昌老師.md 失敗：bad character range \d-  at position 7
2025-04-20 16:03:49,954 - ERROR - 讀取檔案 real_estate_articles\articles\409220_不動產市場發生供不應求或供過於求對建物折舊及耐用年數有何影響？,許文昌老師.md 失敗：bad character range \d-  at position 7
2025-04-20 16:03:49,954 - ERROR - 讀取檔案 real_estate_articles\articles\409221_房地市場價格分析(一),許文昌老師.md 失敗：bad character range \d-  at position 7
2025-04-20 16:03:49,954 - ERROR - 讀取檔案 real_estate_articles\articles\409243_房地市場價格分析(二),許文昌老師.md 失敗：bad character range \d-  at position 7
2025-04-20 16:03:49,954 - ERROR - 讀取檔案 real_estate_articles\articles\409244_最新法律修正，先睹為快,許文昌老師.md 失敗：bad character range \d-  at position 7
2025-04-20 16:03:49,954 - ERROR - 讀取檔案 real_estate_articles\articles\409245_土地登記模擬考題(一),許文昌老師.md 失敗：bad character range \d-  at position 7
2025-04-20 16:03:49,959 - ERROR - 讀取檔案 real_estate_articles\articles\409246_土地登記模擬考題(二),許文昌老師.md 失敗：bad character range \d-  at position 7
2025-04-20 16:03:49,959 - ERROR - 讀取檔案 real_estate_articles\articles\409247_所有權住宅、地上權住宅及使用權住宅(一),許文昌老師.md 失敗：bad character range \d-  at position 7
2025-04-20 16:03:49,960 - ERROR - 讀取檔案 real_estate_articles\articles\409248_所有權住宅、地上權住宅及使用權住宅(二),許文昌老師.md 失敗：bad character range \d-  at position 7
2025-04-20 16:03:49,961 - ERROR - 讀取檔案 real_estate_articles\articles\409249_國土計畫法之實施對不動產市場之影響,許文昌老師.md 失敗：bad character range \d-  at position 7
2025-04-20 16:03:49,961 - ERROR - 讀取檔案 real_estate_articles\articles\409250_地政士考前必讀,許文昌老師.md 失敗：bad character range \d-  at position 7
2025-04-20 16:03:49,962 - ERROR - 讀取檔案 real_estate_articles\articles\409251_今年地政士試題總評,許文昌老師.md 失敗：bad character range \d-  at position 7
2025-04-20 16:03:49,962 - ERROR - 讀取檔案 real_estate_articles\articles\409252_非農民不得興建農舍，但可以購買農舍(一),許文昌老師.md 失敗：bad character range \d-  at position 7
2025-04-20 16:03:49,963 - ERROR - 讀取檔案 real_estate_articles\articles\409253_非農民不得興建農舍，但可以購買農舍(二),許文昌老師.md 失敗：bad character range \d-  at position 7
2025-04-20 16:03:49,964 - ERROR - 讀取檔案 real_estate_articles\articles\409289_徵收補償發給完竣及其效果,曾榮耀老師.md 失敗：bad character range \d-  at position 7
2025-04-20 16:03:49,965 - ERROR - 讀取檔案 real_estate_articles\articles\409290_106高普考考前必讀(一),許文昌老師.md 失敗：bad character range \d-  at position 7
2025-04-20 16:03:49,965 - ERROR - 讀取檔案 real_estate_articles\articles\409291_實價登錄,曾榮耀老師.md 失敗：bad character range \d-  at position 7
2025-04-20 16:03:49,966 - ERROR - 讀取檔案 real_estate_articles\articles\409292_106高普考考前必讀(二),許文昌老師.md 失敗：bad character range \d-  at position 7
2025-04-20 16:03:49,967 - ERROR - 讀取檔案 real_estate_articles\articles\409293_106高普考土地法規完美命中之事實,許文昌老師.md 失敗：bad character range \d-  at position 7
2025-04-20 16:03:49,967 - ERROR - 讀取檔案 real_estate_articles\articles\409294_實價登錄三法即將修正,許文昌老師.md 失敗：bad character range \d-  at position 7
2025-04-20 16:03:49,967 - ERROR - 讀取檔案 real_estate_articles\articles\409334_撤銷徵收與廢止徵收,曾榮耀老師.md 失敗：bad character range \d-  at position 7
2025-04-20 16:03:49,967 - ERROR - 讀取檔案 real_estate_articles\articles\409335_土地法第43條之實例研習,許文昌老師.md 失敗：bad character range \d-  at position 7
2025-04-20 16:03:49,967 - ERROR - 讀取檔案 real_estate_articles\articles\409460_登記錯誤之實例研習,許文昌老師.md 失敗：bad character range \d-  at position 7
2025-04-20 16:03:49,969 - ERROR - 讀取檔案 real_estate_articles\articles\409461_大陸地區人民之地權限制,曾榮耀老師.md 失敗：bad character range \d-  at position 7
2025-04-20 16:03:49,970 - ERROR - 讀取檔案 real_estate_articles\articles\409567_影子銀行(Shadow banking),許文昌老師.md 失敗：bad character range \d-  at position 7
2025-04-20 16:03:49,970 - ERROR - 讀取檔案 real_estate_articles\articles\409568_優先購買權之通知,曾榮耀老師.md 失敗：bad character range \d-  at position 7
2025-04-20 16:03:49,971 - ERROR - 讀取檔案 real_estate_articles\articles\409583_大陸人民取得限制,曾榮耀老師.md 失敗：bad character range \d-  at position 7
2025-04-20 16:03:49,971 - ERROR - 讀取檔案 real_estate_articles\articles\409584_逆向抵押貸款,許文昌老師.md 失敗：bad character range \d-  at position 7
2025-04-20 16:03:49,972 - ERROR - 讀取檔案 real_estate_articles\articles\409630_106年不動產估價師考題命中,許文昌老師.md 失敗：bad character range \d-  at position 7
2025-04-20 16:03:49,972 - ERROR - 讀取檔案 real_estate_articles\articles\409631_耕地375,曾榮耀老師.md 失敗：bad character range \d-  at position 7
2025-04-20 16:03:49,972 - ERROR - 讀取檔案 real_estate_articles\articles\409706_界址爭議,曾榮耀老師.md 失敗：bad character range \d-  at position 7
2025-04-20 16:03:49,973 - ERROR - 讀取檔案 real_estate_articles\articles\409749_土地利用與政策－開發許可,曾榮耀老師.md 失敗：bad character range \d-  at position 7
2025-04-20 16:03:49,973 - ERROR - 讀取檔案 real_estate_articles\articles\409750_時效取得地上權與土地法第104條之實例研習,許文昌老師.md 失敗：bad character range \d-  at position 7
2025-04-20 16:03:49,974 - ERROR - 讀取檔案 real_estate_articles\articles\409764_終止三七五租約補償承租人之地價標準,許文昌老師.md 失敗：bad character range \d-  at position 7
2025-04-20 16:03:49,974 - ERROR - 讀取檔案 real_estate_articles\articles\409765_河川浮覆,曾榮耀老師.md 失敗：bad character range \d-  at position 7
2025-04-20 16:03:49,975 - ERROR - 讀取檔案 real_estate_articles\articles\409799_容積是私有財，抑或公共財？容積是物權，抑或債權？,許文昌老師.md 失敗：bad character range \d-  at position 7
2025-04-20 16:03:49,975 - ERROR - 讀取檔案 real_estate_articles\articles\409800_黎明自辦市地重劃案例探討,曾榮耀老師.md 失敗：bad character range \d-  at position 7
2025-04-20 16:03:49,976 - ERROR - 讀取檔案 real_estate_articles\articles\409878_房屋屬區分所有建物得否適用土地法第104條之優先購買權？,許文昌老師.md 失敗：bad character range \d-  at position 7
