id,type,subject,year,download_url,filename
1,地方政府特考三等-法制,立法程序與技術,113,https://lawyer.get.com.tw/exam/Download.ashx?iP=127962&iDP=72525&iS=84,113年_地方政府特考三等-法制_立法程序與技術.pdf
2,地方政府特考三等-法制,國文（作文與測驗）,113,https://lawyer.get.com.tw/exam/Download.ashx?iP=127910&iDP=72525&iS=208,113年_地方政府特考三等-法制_國文（作文與測驗）.pdf
3,地方政府特考三等-法制,法學知識與英文（包括中華民國憲法、法學緒論、英文）,113,https://lawyer.get.com.tw/exam/Download.ashx?iP=127909&iDP=72525&iS=6439,113年_地方政府特考三等-法制_法學知識與英文（包括中華民國憲法、法學緒論、英文）.pdf
4,地方政府特考三等-法制,刑法,113,https://lawyer.get.com.tw/exam/Download.ashx?iP=127966&iDP=72525&iS=85,113年_地方政府特考三等-法制_刑法.pdf
5,地方政府特考三等-法制,行政法,113,https://lawyer.get.com.tw/exam/Download.ashx?iP=127965&iDP=72525&iS=30,113年_地方政府特考三等-法制_行政法.pdf
6,地方政府特考三等-法制,民事訴訟法與刑事訴訟法,113,https://lawyer.get.com.tw/exam/Download.ashx?iP=127964&iDP=72525&iS=86,113年_地方政府特考三等-法制_民事訴訟法與刑事訴訟法.pdf
7,地方政府特考三等-法制,民法,113,https://lawyer.get.com.tw/exam/Download.ashx?iP=127963&iDP=72525&iS=3,113年_地方政府特考三等-法制_民法.pdf
8,地方政府特考三等-法律廉政,國文（作文與測驗）,113,https://lawyer.get.com.tw/exam/Download.ashx?iP=127910&iDP=72528&iS=208,113年_地方政府特考三等-法律廉政_國文（作文與測驗）.pdf
9,地方政府特考三等-法律廉政,法學知識與英文（包括中華民國憲法、法學緒論、英文）,113,https://lawyer.get.com.tw/exam/Download.ashx?iP=127909&iDP=72528&iS=6439,113年_地方政府特考三等-法律廉政_法學知識與英文（包括中華民國憲法、法學緒論、英文）.pdf
10,地方政府特考四等-法律廉政,公務員法（包括任用、服務、保障、考績、懲戒、交代、行政中立、利益衝突迴避與財產申報）概要,113,https://lawyer.get.com.tw/exam/Download.ashx?iP=127954&iDP=72543&iS=762,113年_地方政府特考四等-法律廉政_公務員法（包括任用、服務、保障、考績、懲戒、交代、行政中立、利益衝突迴避與財產申報）概要.pdf
11,地方政府特考四等-法律廉政,行政法概要,113,https://lawyer.get.com.tw/exam/Download.ashx?iP=127953&iDP=72543&iS=35,113年_地方政府特考四等-法律廉政_行政法概要.pdf
12,地方政府特考四等-法律廉政,刑法與刑事訴訟法概要,113,https://lawyer.get.com.tw/exam/Download.ashx?iP=127952&iDP=72543&iS=7264,113年_地方政府特考四等-法律廉政_刑法與刑事訴訟法概要.pdf
13,地方政府特考四等-法律廉政,國文（作文與測驗）,113,https://lawyer.get.com.tw/exam/Download.ashx?iP=127912&iDP=72543&iS=208,113年_地方政府特考四等-法律廉政_國文（作文與測驗）.pdf
14,地方政府特考四等-法律廉政,法學知識與英文（包括中華民國憲法、法學緒論、英文）,113,https://lawyer.get.com.tw/exam/Download.ashx?iP=127911&iDP=72543&iS=6439,113年_地方政府特考四等-法律廉政_法學知識與英文（包括中華民國憲法、法學緒論、英文）.pdf
15,地方政府特考三等-法律廉政,刑法與刑事訴訟法,113,https://lawyer.get.com.tw/exam/Download.ashx?iP=127948&iDP=72528&iS=125,113年_地方政府特考三等-法律廉政_刑法與刑事訴訟法.pdf
16,地方政府特考三等-法律廉政,公務員法（包括任用、服務、保障、考績、懲戒、交代、行政中立、利益衝突迴避與財產申報）,113,https://lawyer.get.com.tw/exam/Download.ashx?iP=127951&iDP=72528&iS=757,113年_地方政府特考三等-法律廉政_公務員法（包括任用、服務、保障、考績、懲戒、交代、行政中立、利益衝突迴避與財產申報）.pdf
17,地方政府特考三等-法律廉政,行政法,113,https://lawyer.get.com.tw/exam/Download.ashx?iP=127950&iDP=72528&iS=30,113年_地方政府特考三等-法律廉政_行政法.pdf
18,地方政府特考三等-法律廉政,行政學,113,https://lawyer.get.com.tw/exam/Download.ashx?iP=127949&iDP=72528&iS=29,113年_地方政府特考三等-法律廉政_行政學.pdf
19,律師、司法官第二試,憲法與行政法,113,https://lawyer.get.com.tw/exam/Download.ashx?iP=127844&iDP=72610&iS=153,113年_律師、司法官第二試_憲法與行政法.pdf
20,律師、司法官第二試,刑法與刑事訴訟法,113,https://lawyer.get.com.tw/exam/Download.ashx?iP=127845&iDP=72610&iS=125,113年_律師、司法官第二試_刑法與刑事訴訟法.pdf
21,律師、司法官第二試,民法與民事訴訟法（一）,113,https://lawyer.get.com.tw/exam/Download.ashx?iP=127846&iDP=72610&iS=1297,113年_律師、司法官第二試_民法與民事訴訟法（一）.pdf
22,律師、司法官第二試,民法與民事訴訟法（二）,113,https://lawyer.get.com.tw/exam/Download.ashx?iP=127847&iDP=72610&iS=1298,113年_律師、司法官第二試_民法與民事訴訟法（二）.pdf
23,律師、司法官第二試,公司法、保險法與證券交易法,113,https://lawyer.get.com.tw/exam/Download.ashx?iP=127848&iDP=72610&iS=6546,113年_律師、司法官第二試_公司法、保險法與證券交易法.pdf
24,律師、司法官第二試,智慧財產權法,113,https://lawyer.get.com.tw/exam/Download.ashx?iP=127849&iDP=72610&iS=165,113年_律師、司法官第二試_智慧財產權法.pdf
25,律師、司法官第二試,勞動社會法,113,https://lawyer.get.com.tw/exam/Download.ashx?iP=127850&iDP=72610&iS=6505,113年_律師、司法官第二試_勞動社會法.pdf
26,律師、司法官第二試,財稅法,113,https://lawyer.get.com.tw/exam/Download.ashx?iP=127851&iDP=72610&iS=330,113年_律師、司法官第二試_財稅法.pdf
27,律師、司法官第二試,海商法與海洋法,113,https://lawyer.get.com.tw/exam/Download.ashx?iP=127852&iDP=72610&iS=6539,113年_律師、司法官第二試_海商法與海洋法.pdf
28,特考四等-司法人員(監所管理員),監獄學概要,113,https://lawyer.get.com.tw/exam/Download.ashx?iP=127830&iDP=72566&iS=185,113年_特考四等-司法人員(監所管理員)_監獄學概要.pdf
29,特考四等-司法人員(監所管理員),刑法概要,113,https://lawyer.get.com.tw/exam/Download.ashx?iP=127831&iDP=72566&iS=90,113年_特考四等-司法人員(監所管理員)_刑法概要.pdf
30,特考四等-司法人員(監所管理員),犯罪學概要,113,https://lawyer.get.com.tw/exam/Download.ashx?iP=127832&iDP=72566&iS=186,113年_特考四等-司法人員(監所管理員)_犯罪學概要.pdf
